index,prediction,cleaned_index,Label,self_auth,self_class,self_deg,self_betcent,pred_betcent,pred_auth,pred_deg,pred_class,from_textid,emo?
good_1,"['the', 'new', 'little', 'old', 'more']",good,good,0.013005,18,398,0,"[-1, 2012.54884, 4296.3050299999995, 0.0, 49383.267132]","[-1, 0.001431, 0.001866, 0.000349, 0.000708]","[-1, 59, 162, 66, 61]","[-1, 10, 6, 10, 9]",0,1
Stooge_2,"['comedy', 'movie', 'old', 'story', 'funny']",stooge,,,,,,"[-1, 3307.571201, 0.0, 499.947545, 42958.099068]","[-1, 1e-05, 0.000349, 0.000131, 0.001755]","[-1, 6, 66, 68, 127]","[-1, 24, 10, 0, 10]",0,0
lovely_7,"['good', 'evil', 'mean', 'young', 'bad']",lovely,lovely,0.101399,17,226,0,"[0.0, 776.6235889999999, 97091.279297, -1, 4339.762378]","[0.013005, 0.00123, 0.102042, -1, 0.004394]","[398, 130, 423, -1, 309]","[18, 11, 17, -1, 11]",0,1
evil_9,"['happy', 'funny', 'young', 'beautiful', 'different']",evil,evil,0.00123,11,130,776.623589,"[64807.099323, 42958.099068, -1, 0.0, 10103.088607]","[0.000502, 0.001755, -1, 0.101401, 7.8e-05]","[61, 127, -1, 216, 6]","[18, 10, -1, 17, 5]",0,1
time_13,"['thing', 'way', 'person', 'as', 'woman']",time,time,0.000318,9,10,0,"[37456.128994, 0.0, 71005.676086, 0.0, -1]","[0.000816, 0.016628, 0.000334, 0.000121, -1]","[172, 266, 61, 28, -1]","[3, 25, 3, 9, -1]",0,0
great_20,"['good', 'great', 'wonderful', 'fine', 'lovely']",great,great,0.10657,17,398,0,"[0.0, 0.0, 996.81163, 10997.985134999999, 0.0]","[0.013005, 0.10657, 0.101722, 0.103233, 0.101399]","[398, 398, 203, 389, 226]","[18, 17, 17, 17, 17]",0,1
Stooges_22,"['actors', 'characters', 'others', 'cast', 'kids']",stooges,,,,,,"[-1, -1, -1, 48174.595162, -1]","[-1, -1, -1, 0.00062, -1]","[-1, -1, -1, 125, -1]","[-1, -1, -1, 6, -1]",0,
good_25,"['good', 'popular', 'funny', 'talented', 'nice']",good,good,0.013005,18,398,0,"[0.0, 0.0, 42958.099068, -1, 80077.631048]","[0.013005, 0.002077, 0.001755, -1, 0.004845]","[398, 71, 127, -1, 137]","[18, 8, 10, -1, 18]",0,
especially_27,"['like', 'are', 'play', 'good', 'love']",especially,especially,0.015072,25,156,0,"[319.952647, -1, 5875.29845, 0.0, 57973.51769400001]","[0.000739, -1, 0.000202, 0.013005, 0.000218]","[154, -1, 103, 398, 84]","[3, -1, 24, 18, 18]",0,
good_34,"['good', 'great', 'wonderful', 'nice', 'fine']",good,good,0.013005,18,398,0,"[0.0, 0.0, 996.81163, 80077.631048, 10997.985134999999]","[0.013005, 0.10657, 0.101722, 0.004845, 0.103233]","[398, 398, 203, 137, 389]","[18, 17, 17, 18, 17]",0,
